feature_f1,feature_f2,feature_f3,feature_f4,feature_f5,feature_f6,feature_f7,feature_f8,feature_f9,feature_f10,feature_f11,feature_f12,feature_f13,feature_f14,feature_f15,feature_f16,feature_f17,feature_f18,feature_f19,feature_f20,feature_f21,feature_f22,feature_f23,feature_f24,label_num
0.06896551724137931,0.0,1.0,29,0.25,0.0,0.75,0.5714285714285714,0.14285714285714285,0.0,0.0,0.463,0.6,1.0,0.0,0.5,0.0,0.0,0.0,0.01849999999999996,8,0.0,0.625,2,2
0.0,0.018867924528301886,0.0,53,0.75,0.0,0.25,0.42857142857142855,0.2857142857142857,0.0,0.03773584905660377,0.078,0.553,1.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.46099999999999997,8,0.0,0.625,2,2
0.022727272727272728,0.022727272727272728,0.5,44,0.42857142857142855,0.0,0.5714285714285714,0.8,0.2,0.0,0.022727272727272728,-0.089,0.442,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.4195,7,0.125,0.7142857142857143,2,1
0.018867924528301886,0.018867924528301886,0.5,159,0.0,0.0,1.0,0.375,0.08333333333333333,0.14285714285714285,0.006289308176100629,0.037,0.552,0.0,0.0,0.0,0.0,0.0,0.012578616352201259,0.01849999999999996,7,0.0,0.7142857142857143,2,1
0.0,0.0,1.0,40,0.5555555555555556,0.0,0.4444444444444444,0.5454545454545454,0.09090909090909091,0.0,0.025,0.32,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.33999999999999997,7,0.0,0.7142857142857143,2,1
0.0,0.03278688524590164,0.0,61,1.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0,0.407,0.67,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.2965,7,0.0,0.7142857142857143,2,1
0.038834951456310676,0.0,0.0,103,0.5,0.16666666666666666,0.3333333333333333,0.4,0.45,0.0,0.009708737864077669,0.167,0.495,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.4165,7,0.0,0.7142857142857143,2,1
0.0,0.03333333333333333,0.0,30,0.5,0.0,0.5,0.8333333333333334,0.0,0.0,0.0,0.443,0.833,1.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.27849999999999997,7,0.0,0.7142857142857143,2,1
0.0,0.0,1.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5,7,0.0,0.7142857142857143,2,2
0.015151515151515152,0.015151515151515152,0.5,66,0.5555555555555556,0.0,0.4444444444444444,0.5,0.08333333333333333,0.0,0.0,0.146,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.30200000000000005,8,0.125,0.75,1,1
0.02631578947368421,0.0,1.0,38,0.5,0.0,0.25,0.5,0.3333333333333333,0.0,0.0,0.492,0.418,1.0,0.0,0.6666666666666666,0.0,0.0,0.05263157894736842,0.0040000000000000036,8,0.0,0.75,1,1
0.017241379310344827,0.0,0.0,58,0.8333333333333334,0.0,0.16666666666666666,0.09090909090909091,0.5454545454545454,0.0,0.034482758620689655,0.25,0.653,0.0,0.0,0.0,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.625,8,0.0,0.75,1,1
0.0,0.0,0.0,88,0.45,0.0,0.5,0.4444444444444444,0.5,0.0,0.011363636363636364,0.158,0.518,1.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.42100000000000004,8,0.0,0.75,1,1
0.046511627906976744,0.023255813953488372,0.0,43,0.2,0.0,0.4,0.6,0.0,0.0,0.023255813953488372,0.386,0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.30699999999999994,8,0.0,0.75,1,1
0.0,0.0,0.0,21,1.0,0.0,0.0,0.8,0.2,0.0,0.0,0.417,0.7,1.0,0.0,0.5,0.0,0.0,0.047619047619047616,0.2915,8,0.0,0.75,1,1
